quality,alcohol,sulphates,citric acid,volatile acidity
5,9.1,0.57,0.47,0.5
6,10.3,0.78,0.48,0.3
5,10.1,0.59,0.15,0.55
6,9.9,1.95,0.28,0.49
5,9.6,0.64,0.26,0.49
5,9.5,1.22,0.44,0.39
5,9.0,0.53,0.08,0.62
5,9.5,0.54,0.26,0.52
6,9.9,1.95,0.28,0.49
5,9.6,0.64,0.26,0.49
4,10.5,0.48,0.04,1.02
5,10.7,0.56,0.0,0.775
5,9.8,0.56,0.06,0.9
6,9.0,0.59,0.18,0.545
6,10.2,0.61,0.3,0.61
6,9.0,0.59,0.18,0.545
5,9.2,0.51,0.22,0.575
5,9.4,0.48,0.24,0.49
5,9.2,0.51,0.22,0.575
5,9.3,1.31,0.68,0.41
5,9.3,0.79,0.31,0.63
5,9.5,0.93,0.19,0.56
5,9.8,0.66,0.09,0.62
6,9.7,0.67,0.44,0.31
5,9.5,0.93,0.19,0.56
6,10.5,0.63,0.31,0.4
6,10.0,0.61,0.28,0.54
5,9.0,0.57,0.09,1.07
6,10.9,0.6,0.04,0.55
5,9.2,0.52,0.0,0.695
5,9.5,0.48,0.17,0.5
5,10.9,0.49,0.0,1.33
5,10.9,0.48,0.0,1.33
7,10.5,0.92,0.16,0.59
5,9.4,0.66,0.56,0.745
5,13.0,0.63,0.09,0.5
6,9.9,0.55,0.05,1.04
5,9.6,0.82,0.11,0.745
5,9.2,0.64,0.36,0.415
5,9.6,0.82,0.11,0.745
6,14.0,0.79,0.0,0.34
5,9.4,0.58,0.08,0.39
6,14.0,0.79,0.0,0.34
5,9.4,0.62,0.55,0.67
5,10.0,0.52,0.02,0.68
6,10.2,0.58,0.1,0.49
6,10.3,0.53,0.47,0.33
4,9.4,2.0,1.0,0.52
5,10.1,0.54,0.03,0.6
5,10.1,0.54,0.03,0.6
5,10.5,0.71,0.42,0.43
5,10.5,0.72,0.42,0.43
5,10.5,0.71,0.42,0.43
5,9.3,0.5,0.0,0.68
6,9.3,0.57,0.18,0.6
5,9.6,0.56,0.03,0.95
4,9.2,1.08,0.02,0.68
6,10.0,0.56,0.04,0.53
5,9.4,0.49,0.26,0.6
5,9.4,0.49,0.26,0.59
5,9.5,0.62,0.48,0.63
5,10.2,0.52,0.1,0.64
4,9.0,0.48,0.03,0.55
6,10.4,0.55,0.07,0.63
4,9.1,0.33,0.03,0.885
6,9.2,0.61,0.17,0.42
6,11.5,0.57,0.05,0.62
5,9.5,0.78,0.04,0.5
5,9.5,0.47,0.21,0.38
6,10.5,0.61,0.42,0.52
5,9.6,0.56,0.0,0.805
5,9.5,0.59,0.14,0.61
5,9.5,0.59,0.14,0.61
5,9.3,1.02,0.49,0.61
5,9.3,0.52,0.02,0.73
5,9.3,0.58,0.2,0.61
6,9.3,0.58,0.21,0.62
5,9.7,0.53,0.57,0.31
5,9.2,0.55,0.48,0.39
5,9.5,0.55,0.33,0.5
5,9.4,0.62,0.35,0.5
6,9.8,0.62,0.25,0.37
5,9.7,0.55,0.21,0.55
5,9.7,0.55,0.21,0.55
5,10.2,0.59,0.3,0.58
6,10.1,0.97,0.6,0.3
4,11.4,0.43,0.06,1.09
7,10.3,0.82,0.47,0.32
6,9.2,0.56,0.36,0.43
7,10.8,0.77,0.74,0.3
7,10.8,0.77,0.74,0.3
5,9.4,0.67,0.28,0.44
6,12.4,0.86,0.6,0.53
6,10.0,0.56,0.24,0.725
5,10.1,0.43,0.26,0.57
6,9.8,0.71,0.08,0.735
5,10.5,0.76,0.49,0.49
5,11.0,0.57,0.16,0.625
5,9.1,0.55,0.22,0.725
5,9.7,0.54,0.19,0.49
6,9.4,0.59,0.37,0.34
5,9.4,0.57,0.26,0.53
5,9.5,0.6,0.04,0.61
6,10.0,0.6,0.25,0.645
6,10.5,0.58,0.25,0.43
6,9.5,1.61,0.5,0.59
7,12.2,0.62,0.04,0.48
6,9.9,0.52,0.06,0.38
6,9.6,0.7,0.2,0.37
6,9.0,0.55,0.09,1.0
6,9.0,0.58,0.0,0.63
5,9.3,1.09,0.37,0.635
6,10.9,0.71,0.56,0.38
6,9.8,0.49,0.1,0.58
7,9.2,0.84,0.44,0.21
7,9.2,0.84,0.44,0.21
6,9.9,0.96,0.0,0.66
5,9.5,0.52,0.07,0.68
6,9.9,0.96,0.0,0.66
6,10.0,0.78,0.44,0.32
6,9.9,0.7,0.0,0.6
5,10.5,0.53,0.48,0.35
5,9.5,0.59,0.42,0.775
5,9.3,0.57,0.23,0.57
5,9.2,0.62,0.37,0.34
5,9.2,0.67,0.0,0.695
5,9.4,1.26,0.76,0.41
7,10.5,0.8,0.47,0.31
5,9.3,0.65,0.23,0.33
4,9.4,0.6,0.04,0.975
5,10.0,0.57,0.03,0.52
5,9.3,0.67,0.23,0.37
5,10.9,0.87,0.49,0.56
4,9.8,0.72,0.0,0.87
8,12.8,0.86,0.46,0.35
6,9.4,0.91,0.04,0.54
6,10.1,0.97,0.51,0.18
6,10.7,0.67,0.06,0.545
6,10.7,0.67,0.06,0.545
6,9.4,0.91,0.04,0.54
6,10.1,0.97,0.51,0.18
8,12.6,0.82,0.45,0.32
7,10.5,0.77,0.32,0.4
6,9.3,0.82,0.44,0.26
7,9.9,1.08,0.68,0.27
7,10.5,0.77,0.32,0.4
5,9.8,0.71,0.07,0.59
5,9.8,0.71,0.07,0.59
6,10.3,0.76,0.55,0.45
6,10.3,0.7,0.12,0.4
7,10.6,0.86,0.09,0.52
5,9.2,0.95,0.53,0.42
7,10.6,0.86,0.09,0.52
6,10.3,0.64,0.23,0.55
6,10.1,0.6,0.25,0.36
6,9.5,0.81,0.52,0.34
5,9.5,0.64,0.46,0.5
5,9.9,0.52,0.37,0.83
5,9.6,0.73,0.06,0.63
5,9.7,0.8,0.02,0.65
6,10.7,0.59,0.06,0.53
6,10.1,0.64,0.48,0.18
5,10.0,0.72,0.12,0.705
5,9.2,0.52,0.6,0.65
5,9.4,0.52,0.32,0.62
6,9.5,0.62,0.42,0.41
6,9.5,0.63,0.44,0.43
6,9.4,0.54,0.24,0.53
6,9.5,0.63,0.31,0.46
5,9.4,0.53,0.3,0.47
5,11.0,0.68,0.29,0.36
7,11.5,0.71,0.39,0.66
6,10.4,0.64,0.12,0.77
5,9.7,0.62,0.26,0.61
6,9.2,0.69,0.2,0.49
6,9.2,0.69,0.2,0.49
7,11.5,0.74,0.66,0.53
5,11.5,0.83,0.5,0.44
6,9.7,0.67,0.62,0.27
5,11.0,0.52,0.08,0.56
7,11.7,0.74,0.01,0.65
7,12.2,0.84,0.53,0.695
6,12.5,0.7,0.45,0.43
5,10.3,0.64,0.32,0.43
7,9.8,1.36,0.54,0.28
6,9.8,0.75,0.47,0.39
6,9.8,0.75,0.47,0.39
6,10.7,0.78,0.5,0.57
6,12.0,0.93,0.67,0.49
6,10.0,0.92,0.31,0.56
6,9.4,0.83,0.0,0.795
5,9.3,0.73,0.0,0.665
5,13.0,0.77,0.79,0.53
6,11.9,0.59,0.4,0.21
6,12.8,0.61,0.01,0.75
5,11.0,0.88,0.52,0.41
7,11.7,0.75,0.66,0.42
7,10.4,0.85,0.66,0.43
6,9.8,0.68,0.66,0.38
5,9.4,0.7,0.23,0.7
6,9.9,0.91,0.31,0.45
5,10.0,0.56,0.66,0.58
5,10.2,0.87,0.63,0.46
7,10.0,0.73,0.66,0.615
7,10.0,0.73,0.66,0.615
5,9.0,0.69,0.61,0.575
7,12.0,1.13,0.53,0.27
6,8.7,0.87,0.4,0.24
6,10.6,1.04,0.48,0.28
6,11.0,1.11,0.5,0.45
7,12.0,1.13,0.53,0.27
6,13.3,0.99,0.66,0.625
6,9.4,0.8,0.42,0.26
5,9.2,0.74,0.28,0.51
6,9.2,0.74,0.26,0.46
8,12.9,0.82,0.05,0.85
6,10.0,0.8,0.68,0.415
5,9.5,0.51,0.52,0.37
7,13.0,0.6,0.76,0.37
5,9.9,0.53,0.02,0.735
6,11.0,0.65,0.59,0.59
5,9.4,0.55,0.22,0.765
5,9.9,0.53,0.02,0.735
6,10.5,0.61,0.54,0.48
6,10.5,0.63,0.49,0.6
5,9.1,0.61,0.05,0.69
6,10.8,0.65,0.47,0.44
7,10.8,0.63,0.66,0.39
4,9.6,0.57,0.49,0.46
6,9.5,0.62,0.34,0.43
5,9.3,0.64,0.16,0.735
7,11.7,0.82,0.53,0.4
5,9.5,0.61,0.34,0.52
5,9.3,1.07,0.24,0.725
6,11.7,0.66,0.64,0.48
5,10.5,0.48,0.12,0.58
6,10.4,0.76,0.51,0.38
5,9.9,0.68,0.0,0.77
7,12.3,0.56,0.03,0.84
5,10.9,0.44,0.2,0.96
7,11.0,0.9,0.47,0.24
7,12.3,0.56,0.03,0.84
6,11.4,0.49,0.08,0.67
6,10.6,0.56,0.22,0.78
5,9.3,0.6,0.33,0.52
6,10.4,0.6,0.63,0.84
7,11.0,0.9,0.47,0.24
5,9.2,0.56,0.35,0.55
5,9.5,0.49,0.63,0.39
6,9.9,0.89,0.55,0.41
5,9.5,0.49,0.63,0.39
6,10.2,0.56,0.3,0.67
6,11.2,0.66,0.73,0.45
5,9.3,0.6,0.18,0.62
8,9.8,0.82,0.72,0.31
7,11.2,0.68,0.76,0.685
7,12.5,0.84,0.01,0.57
5,10.5,0.73,0.6,0.38
5,11.2,0.72,0.29,0.48
6,10.2,0.56,0.22,0.53
6,10.8,0.61,0.69,0.39
6,10.8,0.61,0.69,0.39
6,10.0,0.63,0.03,0.56
7,11.2,0.74,0.63,0.33
5,11.1,0.63,0.4,0.23
8,13.4,0.69,0.67,0.62
5,10.3,0.58,0.39,0.59
5,9.6,0.58,0.21,0.63
3,9.0,0.57,0.66,0.58
6,11.3,0.61,0.52,0.43
5,9.3,0.61,0.22,0.615
6,9.2,0.7,0.54,0.315
6,11.5,0.72,0.42,0.5
6,14.0,0.79,0.45,0.46
6,9.2,0.62,0.69,0.36
5,9.8,0.58,0.02,0.82
5,10.6,0.61,0.65,0.32
6,11.4,0.71,0.42,0.54
6,10.4,0.82,0.55,0.37
5,10.2,0.6,0.24,0.68
5,9.7,0.7,0.41,0.27
6,11.0,1.06,0.49,0.24
6,10.1,0.7,0.11,0.685
5,9.2,0.66,0.39,0.28
8,11.7,0.92,0.56,0.3
5,9.4,1.06,0.6,0.36
5,10.0,0.47,0.39,0.67
6,10.0,0.42,0.36,0.645
6,10.2,0.75,0.4,0.39
7,13.3,0.79,0.5,0.41
7,13.4,0.9,0.51,0.4
6,11.6,0.74,0.31,0.69
6,12.1,0.55,0.23,0.39
8,11.0,0.65,0.53,0.35
6,9.0,0.65,0.25,0.52
5,11.1,0.79,0.32,0.34
8,11.0,0.65,0.53,0.35
6,11.6,0.74,0.31,0.69
6,9.0,0.65,0.25,0.52
7,12.0,0.85,0.73,0.44
7,12.0,0.85,0.73,0.44
7,10.8,1.05,0.42,0.24
7,12.5,0.78,0.63,0.49
7,10.8,1.02,0.46,0.24
6,9.5,0.71,0.55,0.67
7,11.4,0.68,0.75,0.29
6,10.2,0.63,0.31,0.59
6,9.7,0.81,0.48,0.4
7,11.8,0.66,0.64,0.51
7,11.8,0.66,0.64,0.51
5,9.3,1.14,0.49,0.655
6,11.9,0.74,0.49,0.6
3,8.4,0.63,0.49,0.61
6,10.0,0.9,0.49,0.25
5,9.4,0.55,0.49,0.4
5,9.5,0.64,0.49,0.43
6,11.4,0.77,0.49,0.38
5,9.4,0.57,0.24,0.63
6,10.3,0.87,0.24,0.22
5,10.3,0.61,0.49,0.38
5,10.3,0.61,0.49,0.38
6,12.8,0.66,0.24,0.27
6,10.0,0.56,0.24,0.48
6,10.3,0.87,0.24,0.22
5,9.4,0.57,0.24,0.63
6,10.7,0.77,0.24,0.825
7,12.0,0.66,0.49,0.35
5,11.2,0.62,0.74,0.5
5,9.6,0.67,0.24,0.59
6,11.0,0.73,0.49,0.46
5,9.9,0.59,0.24,0.715
6,11.0,0.72,0.24,0.66
6,8.4,0.79,0.74,0.31
5,9.1,0.59,0.49,0.47
6,9.5,0.78,0.24,0.55
6,10.7,0.86,0.49,0.31
6,10.4,0.75,0.49,0.35
6,9.5,0.56,0.01,0.51
6,10.0,0.73,0.24,0.43
6,10.0,0.74,0.24,0.46
5,11.5,0.62,0.24,1.04
5,11.1,0.74,0.49,0.645
6,11.7,0.56,0.49,0.53
5,11.1,0.74,0.49,0.645
6,12.7,0.68,0.49,0.47
5,11.4,0.57,0.49,0.6
5,9.2,0.61,0.49,0.54
6,10.1,0.61,0.49,0.29
6,12.7,0.68,0.49,0.47
5,11.4,0.57,0.49,0.6
6,9.0,0.6,0.24,0.7
6,10.7,0.79,0.49,0.5
6,11.7,0.57,0.24,0.36
6,11.0,0.91,0.49,0.35
5,10.4,0.61,0.49,0.24
4,10.0,0.52,0.24,0.5
5,9.5,0.6,0.49,0.44
5,9.8,0.6,0.49,0.47
6,9.8,0.51,0.49,0.31
5,9.6,0.44,0.49,0.5
5,9.6,0.44,0.49,0.5
7,9.9,0.66,0.49,0.28
5,9.3,0.59,0.24,0.73
8,14.0,0.74,0.24,0.42
5,9.7,0.57,0.49,0.45
6,11.5,0.5,0.49,0.39
5,9.7,0.57,0.49,0.45
5,9.0,0.58,0.58,0.49
5,9.3,0.57,0.41,0.595
6,9.3,0.6,0.51,0.4
6,9.8,0.48,0.18,0.585
5,9.3,0.52,0.0,0.835
6,9.1,0.62,0.13,0.58
6,10.5,0.53,0.41,0.48
6,10.4,0.64,0.37,0.65
6,12.7,0.52,0.19,0.36
5,9.2,0.54,0.54,0.24
5,9.4,0.54,0.55,0.38
6,10.0,0.6,0.0,0.64
5,9.7,0.57,0.5,0.6
6,9.8,0.93,0.51,0.31
5,9.3,0.8,0.41,0.37
5,9.4,0.61,0.24,0.54
5,9.4,0.62,0.23,0.56
5,9.5,0.55,0.22,0.58
5,10.2,0.72,0.0,0.69
5,9.1,0.49,0.29,0.6
5,9.1,0.49,0.29,0.6
6,9.3,0.6,0.26,0.54
5,9.3,0.61,0.23,0.685
6,9.3,0.6,0.26,0.54
5,9.5,0.63,0.54,0.28
6,10.5,0.57,0.14,0.41
4,11.3,0.64,0.22,0.935
5,9.5,0.58,0.21,0.35
5,9.7,0.55,0.0,0.84
5,9.4,0.53,0.28,0.88
5,9.4,0.53,0.27,0.885
6,10.3,1.36,0.35,0.29
5,9.4,0.62,0.45,0.54
5,9.4,0.62,0.45,0.54
5,9.4,0.62,0.45,0.54
4,11.0,0.58,0.01,0.845
7,11.2,0.67,0.3,0.48
6,11.3,0.57,0.27,0.42
5,9.6,0.5,0.39,0.43
5,14.9,0.84,0.65,0.36
6,12.0,0.54,0.59,0.33
5,9.5,0.46,0.47,0.47
5,9.4,0.61,0.17,0.55
5,9.6,0.5,0.39,0.43
7,10.5,0.68,0.59,0.5
6,9.6,0.81,0.07,0.52
6,9.6,0.81,0.07,0.52
5,9.0,0.64,0.31,0.42
6,9.6,0.7,0.06,0.57
5,9.7,0.56,0.14,0.59
6,9.5,0.6,0.36,0.49
6,9.2,0.66,0.45,0.34
6,9.2,0.66,0.45,0.34
5,9.5,0.52,0.21,0.73
5,9.5,0.52,0.21,0.73
6,9.3,0.67,0.41,0.4
5,9.9,0.48,0.11,0.8
5,10.0,0.53,0.1,0.78
5,9.6,0.54,0.45,0.26
6,10.2,0.49,0.23,0.45
5,9.8,0.54,0.31,0.46
5,11.3,0.56,0.23,0.78
5,9.4,0.48,0.32,0.98
5,11.3,0.56,0.23,0.78
5,9.4,0.47,0.04,0.66
5,9.4,1.05,0.48,0.38
5,9.8,0.54,0.24,0.92
5,9.0,1.17,0.51,0.49
5,9.4,0.62,0.32,0.48
5,9.4,0.61,0.31,0.47
6,12.8,0.62,0.02,0.47
6,9.5,0.67,0.02,0.65
5,9.7,0.53,0.28,0.615
6,10.8,0.62,0.55,0.38
6,10.1,0.57,0.43,1.02
6,9.5,0.67,0.02,0.65
6,9.4,0.67,0.02,0.64
4,9.6,0.7,0.48,0.38
4,9.7,0.54,0.04,0.765
5,9.9,0.49,0.15,1.035
5,10.0,0.47,0.08,0.78
5,10.5,0.51,0.19,0.49
6,11.6,0.61,0.12,0.545
5,10.1,0.57,0.43,1.025
5,9.5,0.61,0.34,0.565
5,9.8,0.51,0.28,0.74
5,10.0,0.57,0.11,0.46
5,9.6,0.44,0.04,0.56
5,9.5,0.54,0.0,0.66
5,9.6,0.44,0.04,0.56
5,9.2,0.53,0.24,0.48
5,9.5,1.62,0.3,0.31
5,10.4,0.55,0.17,0.66
6,11.1,0.72,0.09,0.72
5,9.5,0.68,0.02,0.57
5,9.5,0.68,0.02,0.57
6,12.7,0.49,0.03,0.865
5,9.6,0.67,0.66,0.55
5,11.5,0.52,0.13,0.875
5,9.6,0.47,0.03,0.835
5,9.5,0.6,0.34,0.45
5,9.3,0.62,0.2,0.56
5,9.5,0.5,0.1,0.965
6,9.3,0.65,0.0,0.59
5,9.3,0.6,0.0,0.69
6,11.5,0.68,0.29,0.76
5,9.5,0.57,0.24,0.53
5,9.5,0.51,0.54,0.39
6,9.5,0.73,0.18,0.51
6,9.0,0.47,0.38,0.34
6,9.6,0.72,0.18,0.5
6,9.5,0.73,0.18,0.51
5,9.5,0.55,0.1,0.65
5,9.4,0.61,0.13,0.54
5,9.5,0.55,0.1,0.65
6,9.1,1.06,0.68,0.48
6,10.7,0.43,0.07,0.91
6,11.2,0.46,0.01,0.98
5,9.8,0.5,0.0,0.87
5,9.8,0.5,0.0,0.87
5,9.2,0.52,0.21,0.42
5,9.7,0.57,0.25,0.58
5,9.6,0.42,0.26,0.655
6,10.0,0.53,0.0,0.7
6,9.5,0.55,0.11,0.68
6,9.5,0.54,0.1,0.67
5,9.4,0.54,0.18,0.59
6,9.7,0.53,0.02,0.59
5,9.6,0.54,0.01,0.72
6,9.7,0.53,0.02,0.59
5,9.4,0.55,0.26,0.685
5,9.4,0.55,0.27,0.57
6,9.5,0.92,0.29,0.4
5,10.0,0.46,0.0,1.0
6,10.3,0.59,0.17,0.635
5,10.5,0.61,0.3,0.43
5,9.8,0.6,0.03,0.52
6,9.4,0.6,0.0,0.57
5,9.8,0.65,0.14,0.46
5,9.8,0.59,0.01,0.59
5,9.5,0.5,0.41,0.35
6,10.1,0.56,0.24,0.56
6,10.1,0.56,0.24,0.56
5,9.3,0.52,0.17,0.63
6,9.7,0.68,0.43,0.37
5,9.6,0.54,0.17,0.64
6,9.7,0.6,0.02,0.61
5,10.8,0.56,0.0,0.6
6,12.5,0.53,0.54,0.27
5,10.2,1.18,0.3,0.89
5,9.6,0.74,0.31,0.46
7,10.8,0.81,0.44,0.37
6,10.7,0.52,0.34,0.5
5,10.0,0.44,0.09,0.55
7,12.9,0.94,0.0,0.585
6,9.6,0.66,0.08,0.56
6,9.9,0.57,0.22,0.52
7,12.5,0.71,0.39,0.25
5,9.2,0.86,0.12,0.53
6,10.3,0.55,0.31,0.48
5,10.5,0.47,0.1,0.49
6,10.9,0.68,0.55,0.5
4,11.4,0.58,0.24,0.39
6,11.3,0.76,0.54,0.41
5,9.6,0.54,0.15,0.66
5,9.7,0.6,0.0,0.685
7,14.0,0.74,0.0,0.42
5,9.8,0.64,0.13,0.54
5,10.3,0.53,0.28,0.48
7,11.0,0.64,0.34,0.27
5,10.7,0.49,0.14,0.46
4,10.9,0.55,0.07,0.685
6,11.1,0.77,0.08,0.61
4,9.9,0.86,0.44,0.47
7,11.7,0.39,0.28,0.28
7,11.7,0.39,0.28,0.28
7,11.2,0.83,0.35,0.31
5,10.3,0.63,0.0,0.66
6,10.9,0.72,0.45,0.5
5,9.4,0.62,0.35,0.685
5,9.8,0.66,0.21,0.64
6,9.9,0.7,0.16,0.68
5,9.8,0.66,0.21,0.64
5,9.5,0.55,0.44,0.43
5,9.5,0.55,0.44,0.43
6,10.9,0.73,0.39,0.36
6,10.9,0.73,0.39,0.36
6,10.9,0.73,0.39,0.36
7,11.3,0.78,0.34,0.26
7,10.6,0.67,0.47,0.28
5,9.5,0.54,0.06,0.62
5,10.4,0.44,0.32,0.42
5,9.7,0.53,0.06,0.62
5,9.7,0.54,0.07,0.635
5,10.6,0.57,0.03,0.56
4,10.0,0.54,0.24,0.35
7,11.8,0.79,0.4,0.31
6,11.8,0.57,0.01,0.715
6,11.4,0.65,0.0,0.715
6,12.0,0.78,0.29,0.31
6,10.0,0.5,0.19,0.61
5,10.5,0.64,0.14,0.75
6,10.4,0.65,0.12,0.8
6,11.2,0.56,0.0,0.57
5,9.3,0.68,0.34,0.9
5,9.7,0.57,0.03,0.66
6,9.3,0.65,0.23,0.45
5,9.7,0.57,0.03,0.66
6,9.8,0.58,0.03,0.63
6,10.7,0.58,0.01,0.59
7,12.5,0.77,0.39,0.31
6,10.7,0.58,0.01,0.59
7,12.5,0.77,0.39,0.31
5,11.8,0.69,0.36,0.31
7,10.8,0.69,0.1,0.635
7,10.8,0.69,0.1,0.635
7,10.8,0.59,0.06,0.59
5,11.0,0.71,0.27,0.54
6,11.5,0.54,0.0,0.56
6,10.8,0.59,0.13,0.52
6,13.2,0.57,0.48,0.38
6,10.9,0.6,0.46,0.28
6,12.2,0.62,0.44,0.46
6,11.9,0.67,0.4,0.315
5,11.0,0.61,0.19,0.715
6,10.1,0.64,0.31,0.41
6,11.0,0.72,0.32,0.36
6,11.8,0.89,0.12,0.62
5,10.5,0.56,0.37,0.41
6,11.8,0.89,0.12,0.62
5,11.2,0.8,0.27,0.47
7,11.0,0.87,0.36,0.22
6,10.2,0.9,0.33,0.24
4,9.2,0.59,0.19,0.67
5,11.2,0.8,0.27,0.47
7,12.0,0.73,0.38,0.33
5,9.8,0.65,0.01,0.61
6,9.5,0.59,0.29,0.4
5,10.5,0.73,0.01,0.61
6,11.8,0.72,0.38,0.3
5,11.4,0.54,0.17,0.46
7,12.5,0.52,0.49,0.27
7,10.0,0.64,0.4,0.43
7,12.1,0.64,0.49,0.3
7,12.0,0.99,0.58,0.44
7,12.4,0.62,0.48,0.28
7,11.9,0.76,0.45,0.12
7,11.9,0.76,0.45,0.12
7,12.4,0.62,0.48,0.28
7,11.2,0.68,0.4,0.31
7,12.1,0.69,0.48,0.34
5,10.4,0.67,0.52,0.21
6,11.3,0.62,0.52,0.36
7,11.3,0.71,0.12,0.57
6,11.1,0.85,0.27,0.47
5,9.3,0.62,0.14,0.56
5,9.5,0.69,0.02,0.57
6,11.1,0.85,0.27,0.47
5,9.2,0.48,0.2,0.66
6,12.2,0.6,0.43,0.4
6,10.9,0.87,0.48,0.26
7,12.1,0.62,0.41,0.33
5,9.4,0.52,0.3,0.41
5,9.1,0.5,0.29,0.59
7,11.3,0.49,0.32,0.4
6,10.5,0.71,0.3,0.5
5,10.0,0.62,0.26,0.86
6,12.9,0.82,0.32,0.52
6,10.5,0.71,0.3,0.5
6,11.3,0.58,0.0,0.58
5,9.4,0.5,0.3,0.36
5,9.4,0.49,0.12,0.39
6,10.9,0.51,0.4,0.295
5,9.4,0.49,0.12,0.39
5,9.4,0.48,0.28,0.34
5,9.4,0.48,0.28,0.34
6,10.1,0.62,0.06,0.6
6,9.1,0.48,0.34,0.84
6,12.9,0.53,0.0,0.69
7,11.5,0.72,0.3,0.43
5,10.3,0.54,0.29,0.43
7,12.8,0.55,0.32,0.36
7,11.7,0.84,0.33,0.29
7,11.7,0.84,0.34,0.3
7,12.0,0.7,0.4,0.35
7,12.3,0.55,0.45,0.28
6,10.4,0.55,0.31,0.32
5,10.0,0.48,0.15,1.005
6,10.0,0.58,0.0,0.71
6,11.2,0.58,0.16,0.58
7,12.6,0.75,0.4,0.38
6,12.7,0.44,0.37,0.18
5,10.4,0.61,0.14,0.5
6,11.9,0.53,0.66,0.36
6,11.9,0.53,0.66,0.36
5,10.5,0.54,0.09,0.51
6,12.3,0.55,0.42,0.32
7,10.5,0.56,0.01,0.58
6,10.4,0.6,0.0,0.83
6,12.6,0.56,0.32,0.31
5,11.6,0.52,0.0,0.795
7,10.5,0.56,0.01,0.58
5,9.6,0.53,0.0,0.82
6,9.7,0.47,0.18,0.745
7,10.6,0.65,0.34,0.37
7,12.5,0.59,0.34,0.31
7,12.6,0.77,0.41,0.41
6,11.1,0.83,0.21,0.5
6,9.8,0.64,0.19,0.49
6,12.2,0.62,0.33,0.39
6,11.4,0.58,0.0,0.44
6,10.7,0.62,0.0,0.78
5,10.4,0.64,0.17,0.43
6,10.9,0.78,0.36,0.49
6,10.8,0.77,0.36,0.5
5,9.2,1.34,0.59,0.46
5,12.9,0.55,0.05,0.605
7,12.7,0.77,0.42,0.33
6,9.1,0.62,0.27,0.64
7,12.1,0.59,0.53,0.48
5,9.1,0.57,0.25,0.42
7,11.6,0.76,0.57,0.53
7,12.1,0.59,0.53,0.48
6,9.9,0.7,0.57,0.23
8,12.5,0.69,0.5,0.4
6,11.4,0.64,0.44,0.38
6,11.8,0.63,0.65,0.29
6,11.8,0.57,0.09,0.74
6,10.2,0.6,0.18,0.61
7,12.5,0.72,0.08,0.52
7,10.9,0.83,0.53,0.31
5,10.8,0.62,0.35,0.62
7,11.1,0.89,0.45,0.33
5,9.2,0.58,0.2,0.77
6,10.7,0.58,0.33,0.62
6,11.4,0.73,0.56,0.32
5,11.0,0.58,0.65,0.37
7,12.3,0.51,0.68,0.3
7,12.3,0.51,0.68,0.3
6,9.5,0.59,0.3,0.38
6,12.0,0.77,0.45,0.42
5,9.6,0.49,0.08,0.48
7,11.6,0.66,0.4,0.34
6,11.2,0.69,0.42,0.19
7,9.9,0.76,0.54,0.41
7,9.9,0.76,0.54,0.41
8,11.8,0.63,0.54,0.26
6,11.4,0.6,0.42,0.34
6,11.5,0.59,0.09,0.54
7,12.0,0.86,0.36,0.31
6,10.8,0.49,0.09,0.725
6,10.8,0.49,0.09,0.725
