no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,lead_time,arrival_month,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,booking_status_Not_Canceled
2,0,0,4,104,10,0,0,0,91.48,1,False,False,False,False,False,False,True
2,1,0,1,11,11,0,0,0,150.0,1,False,False,False,False,False,False,False
2,0,0,1,2,3,0,0,0,89.0,0,False,False,False,False,False,False,True
2,0,1,4,14,8,0,0,0,91.43,1,False,False,False,False,False,False,True
2,0,0,2,22,5,0,0,0,140.0,0,False,False,False,False,False,False,True
1,1,2,5,37,10,0,0,0,87.78,0,False,False,False,False,False,False,True
2,0,0,2,292,7,0,0,0,115.0,0,False,False,False,False,False,False,False
2,0,0,3,11,9,0,0,0,80.85,1,False,False,False,False,False,False,True
2,0,1,3,86,3,0,0,0,82.45,1,False,False,False,False,False,False,True
2,0,0,1,109,10,0,0,0,108.0,0,False,False,False,False,False,False,False
2,0,1,1,72,4,0,0,0,96.3,1,False,False,True,False,False,False,True
2,0,1,5,196,8,0,0,0,99.45,0,False,False,False,False,False,False,False
2,0,0,2,56,5,0,0,0,140.4,1,False,False,True,False,False,False,True
2,0,1,3,189,8,0,0,0,72.25,0,False,False,False,False,False,False,True
2,0,1,4,126,8,0,0,0,126.0,0,False,False,True,False,False,False,True
2,0,2,3,303,8,0,0,0,78.0,0,False,False,False,False,False,False,False
1,0,2,2,81,11,0,0,0,146.6,1,False,False,True,False,False,False,True
2,0,1,2,54,10,0,0,0,118.8,0,False,False,False,False,False,False,False
1,0,0,1,15,10,0,0,0,145.0,0,False,False,False,False,False,False,False
2,0,0,4,86,4,0,0,0,84.58,0,False,False,False,False,False,False,False
2,0,1,2,161,3,0,0,0,130.0,0,False,False,False,False,False,False,False
2,0,4,10,147,8,0,0,0,118.88,1,False,False,True,False,False,False,False
2,0,1,2,92,5,0,0,0,101.52,0,False,False,False,False,False,False,True
2,0,0,1,87,9,0,0,0,100.0,0,False,False,False,False,False,False,False
2,0,2,1,109,3,0,0,0,58.0,0,False,False,False,False,False,False,True
2,0,0,4,127,3,0,0,0,61.5,2,False,False,False,False,False,False,True
2,0,1,2,418,9,0,0,0,107.0,0,False,False,False,False,False,False,False
2,0,1,4,156,8,0,0,0,87.3,1,False,False,False,False,False,False,True
2,0,0,2,80,7,0,0,0,76.5,1,False,False,False,False,False,False,False
2,0,2,2,211,12,0,0,0,63.75,0,False,False,False,False,False,False,False
2,0,1,2,273,5,0,0,0,95.0,0,False,False,False,False,False,False,False
2,0,2,1,58,11,0,0,0,75.0,1,False,False,False,False,False,False,True
2,0,0,3,433,9,0,0,0,70.0,0,False,False,False,False,False,False,False
2,0,1,3,111,5,0,0,0,101.58,1,False,False,False,False,False,False,True
2,0,2,3,34,8,0,0,0,85.0,0,False,False,False,False,False,False,True
2,0,2,4,17,12,0,0,0,98.39,0,False,False,False,False,False,False,True
1,0,0,0,4,2,0,0,0,0.0,1,False,False,False,False,False,False,True
2,0,0,3,6,9,0,0,0,106.07,1,False,False,False,False,False,False,True
2,0,1,1,32,7,0,0,0,105.0,1,False,False,False,False,False,False,True
2,0,0,1,4,9,0,0,0,145.0,2,False,False,False,False,False,False,True
3,0,2,1,195,8,0,0,0,106.03,1,False,False,False,False,False,False,False
2,0,2,2,119,8,0,0,0,114.3,1,False,False,False,False,False,False,True
1,0,1,1,13,12,0,0,0,88.0,0,False,False,False,False,False,False,True
2,0,0,2,59,10,0,0,0,89.25,2,False,False,False,False,False,False,True
2,1,2,5,78,3,0,0,0,86.32,1,False,False,True,False,False,False,True
2,0,0,3,335,10,0,0,0,90.0,1,False,False,False,False,False,False,True
2,0,2,5,103,8,0,0,0,55.96,0,False,False,False,False,False,False,True
1,0,0,2,0,6,0,0,0,109.0,1,False,False,False,False,False,False,True
2,0,0,1,118,3,0,0,0,86.0,0,False,False,False,False,False,False,True
2,0,1,5,56,9,0,0,0,118.95,0,False,False,False,False,False,False,True
2,0,0,2,107,6,0,0,0,130.0,1,False,False,False,False,False,False,True
2,0,1,3,70,4,0,0,0,90.56,1,False,False,False,False,False,False,True
2,0,0,2,76,4,0,0,0,87.3,1,False,False,False,False,False,False,True
2,2,2,2,144,5,0,0,0,177.65,1,False,False,False,False,True,False,False
1,2,2,2,4,9,0,0,0,200.75,2,False,False,False,False,True,False,True
2,1,0,2,15,3,0,0,0,127.0,1,False,False,False,False,False,False,True
1,0,1,2,32,2,0,0,0,72.9,0,False,False,False,False,False,False,False
3,0,1,1,49,5,0,0,0,159.3,0,False,False,True,False,False,False,False
2,1,1,3,77,5,0,0,0,135.15,1,False,False,False,False,False,False,True
1,0,0,2,22,10,0,0,0,90.0,0,False,False,False,False,False,False,True
2,0,1,0,0,10,0,0,0,114.0,0,False,False,False,False,False,False,True
2,1,0,1,58,6,0,0,0,125.1,1,False,False,False,False,False,False,True
2,0,2,6,4,8,0,0,0,95.13,1,False,False,False,False,False,False,True
2,0,0,2,117,4,0,0,0,105.84,0,False,False,False,True,False,False,False
2,0,1,3,36,12,0,0,0,102.0,0,False,False,False,False,False,False,False
2,0,2,2,35,12,0,0,0,74.8,2,False,False,False,False,False,False,True
2,0,1,0,31,4,0,0,0,94.5,0,False,False,False,False,False,False,False
2,0,2,4,79,6,0,0,0,120.6,0,False,False,False,False,False,False,True
2,0,1,2,1,10,0,0,0,139.33,0,False,False,False,False,False,False,True
2,0,0,2,21,9,0,0,0,105.0,0,False,False,False,False,False,False,True
2,0,0,2,12,9,0,0,0,100.0,1,False,False,False,False,False,False,True
2,0,1,0,33,2,0,0,0,80.3,1,False,False,False,False,False,False,True
1,0,0,2,164,10,0,0,0,100.0,0,False,False,False,False,False,False,True
2,0,0,3,78,3,0,0,0,105.3,1,False,False,False,False,False,False,True
2,0,0,4,18,5,0,0,0,112.8,0,False,False,True,False,False,False,False
2,0,1,2,21,8,0,0,0,151.0,0,False,False,False,False,False,False,False
1,0,1,3,0,11,0,0,0,91.0,1,False,False,False,False,False,False,True
3,0,2,1,152,8,0,0,0,146.7,1,False,False,True,False,False,False,False
2,0,2,3,43,10,0,0,0,58.4,0,False,False,False,False,False,False,True
2,0,0,4,177,7,0,0,0,80.75,1,False,False,False,False,False,False,False
2,0,1,1,47,5,0,0,0,76.5,0,False,False,False,False,False,False,True
3,0,0,3,57,9,0,0,0,140.13,0,False,False,True,False,False,False,True
2,0,2,4,60,11,0,0,0,76.0,1,False,False,False,False,False,False,True
2,0,0,1,0,9,0,0,0,200.0,0,False,False,False,False,False,False,True
2,0,0,2,102,10,0,0,0,101.5,0,False,False,False,False,False,False,False
2,0,0,3,71,10,0,0,0,108.0,1,False,False,False,False,False,False,True
3,0,2,3,111,7,0,0,0,189.0,1,False,False,True,False,False,False,True
3,0,1,1,1,6,0,0,0,166.0,3,False,False,True,False,False,False,True
2,0,1,1,4,1,0,0,0,67.5,0,False,False,False,False,False,False,True
2,0,1,3,25,9,0,0,0,78.54,1,False,False,True,False,False,False,True
1,0,2,2,209,11,0,0,0,152.1,1,False,False,False,False,False,False,False
1,0,2,1,93,10,0,0,0,115.0,0,False,False,False,False,False,False,False
2,0,2,5,53,9,0,0,0,66.53,2,False,False,False,False,False,False,True
1,0,0,2,1,8,1,0,1,0.0,1,False,False,False,False,False,False,True
1,0,2,1,4,8,0,0,0,0.0,1,False,False,False,False,False,False,True
2,0,0,3,302,12,0,0,0,90.3,2,False,False,False,False,False,False,False
2,0,0,2,122,4,0,0,0,85.0,0,False,False,False,False,False,False,True
1,0,0,1,16,3,0,0,0,75.0,0,False,False,False,False,False,False,True
2,0,2,4,28,8,0,0,0,115.37,1,False,False,False,False,False,False,False
2,0,1,2,161,3,0,0,0,130.0,0,False,False,False,False,False,False,False
3,0,0,2,57,12,0,0,0,126.0,2,False,False,True,False,False,False,True
2,0,1,0,19,6,0,0,0,94.35,1,False,False,False,False,False,False,True
3,0,2,4,109,7,0,0,0,118.46,4,False,False,True,False,False,False,True
1,0,0,2,239,6,0,0,0,90.6,0,False,False,False,False,False,False,False
1,0,2,1,33,3,0,0,0,82.9,2,False,False,False,False,False,False,True
2,0,0,3,11,8,0,0,0,95.33,1,False,False,False,False,False,False,True
3,0,2,5,40,4,0,0,0,135.64,1,False,False,True,False,False,False,True
3,0,1,1,45,6,0,0,0,122.4,0,False,False,True,False,False,False,True
2,0,1,3,41,5,0,0,0,116.1,0,False,False,False,False,False,False,False
2,0,0,4,167,6,0,0,0,62.18,0,False,False,False,False,False,False,False
2,0,0,4,62,3,0,0,0,63.75,0,False,False,False,False,False,False,False
1,0,1,4,113,9,0,0,0,118.8,0,False,False,False,False,False,False,False
2,0,0,2,1,8,0,0,0,167.0,0,False,False,False,False,False,False,True
2,2,2,2,84,5,0,0,0,187.85,1,False,False,False,False,True,False,True
0,2,2,2,68,4,0,0,0,108.38,1,False,False,False,False,False,False,False
2,0,0,1,9,9,1,0,3,0.0,1,True,False,False,False,False,False,True
3,0,1,2,245,10,0,0,0,128.7,0,False,False,False,False,False,False,False
2,0,1,3,80,3,0,0,0,80.33,1,False,False,False,False,False,False,True
2,0,1,1,7,8,0,0,0,140.0,1,False,False,False,False,False,False,False
2,1,1,1,128,8,0,0,0,76.5,2,False,False,False,False,False,False,True
2,0,2,1,100,5,0,0,0,105.3,1,False,False,False,False,False,False,True
2,0,2,1,118,4,0,0,0,87.3,1,False,False,False,False,False,False,False
1,0,0,3,166,11,0,0,0,110.0,0,False,False,False,False,False,False,False
1,0,0,1,41,9,0,0,0,83.0,0,False,False,False,False,False,False,True
2,0,2,2,174,8,0,0,0,99.45,1,False,False,False,False,False,False,True
2,1,2,1,27,12,0,0,0,104.5,3,False,False,False,False,False,False,True
2,0,2,6,2,11,0,0,0,92.54,2,False,False,False,False,False,False,True
1,0,0,3,37,10,0,0,0,95.0,0,False,False,False,False,False,False,True
1,0,0,2,188,6,0,0,0,130.0,0,False,False,False,False,False,False,False
2,0,2,1,68,1,1,1,0,63.0,1,False,False,False,False,False,False,True
2,0,1,2,189,10,0,0,0,109.8,0,False,False,True,False,False,False,False
2,0,1,0,10,5,0,0,0,103.0,0,False,False,False,False,False,False,True
3,0,2,1,19,2,0,0,0,130.0,1,False,False,True,False,False,False,True
2,0,0,2,61,3,0,0,0,117.0,0,False,False,False,False,False,False,False
2,0,0,4,95,12,0,0,0,60.5,0,False,False,True,False,False,False,True
2,0,0,1,83,9,0,0,0,112.2,0,False,False,False,False,False,False,True
2,0,1,3,37,8,0,0,0,135.9,0,False,False,False,False,False,False,False
2,0,1,0,19,7,0,0,0,151.0,1,False,False,False,False,False,False,False
2,2,0,2,22,9,0,0,0,239.0,2,False,False,False,False,True,False,True
2,0,2,1,22,12,0,0,0,59.09,0,False,False,False,False,False,False,True
2,0,2,5,151,7,0,0,0,103.09,0,False,False,False,False,False,False,False
2,0,2,1,26,2,0,0,0,87.0,0,False,False,False,False,False,False,True
3,0,1,0,27,4,0,0,0,137.0,0,False,False,True,False,False,False,False
2,0,0,2,79,6,0,0,0,109.0,0,False,False,False,False,False,False,True
2,0,1,1,247,6,0,0,0,115.0,1,False,False,False,False,False,False,False
2,0,2,3,189,7,0,0,0,99.45,1,False,False,True,False,False,False,True
2,0,0,2,320,8,0,0,0,115.0,1,False,False,False,False,False,False,False
3,0,1,2,27,2,0,0,0,130.0,2,False,False,True,False,False,False,True
1,0,1,0,51,5,1,0,3,65.0,0,False,False,False,False,False,False,True
2,0,0,2,245,6,0,0,0,75.0,0,False,False,False,False,False,False,False
2,1,1,2,52,7,0,0,0,132.9,0,False,False,False,False,False,False,False
1,0,2,0,13,10,0,0,0,120.0,0,False,False,False,False,False,False,True
2,0,0,2,46,11,0,0,0,79.2,1,False,False,False,False,False,False,False
3,0,2,1,84,8,0,0,0,159.3,0,False,False,True,False,False,False,False
1,0,0,2,188,6,0,0,0,130.0,0,False,False,False,False,False,False,False
2,0,0,3,19,10,1,1,0,90.0,0,False,False,False,False,False,False,True
2,0,0,2,67,5,0,0,0,140.4,1,False,False,True,False,False,False,True
2,0,0,1,0,8,0,0,0,75.0,0,False,False,False,False,False,False,True
2,0,0,2,273,7,0,0,0,109.0,0,False,False,False,False,False,False,False
2,0,2,1,110,7,0,0,0,94.5,0,False,False,False,False,False,False,False
1,0,0,1,0,12,1,0,1,75.0,0,False,False,False,False,False,False,True
2,0,1,2,32,10,0,0,0,75.0,1,False,False,True,False,False,False,True
2,0,2,1,282,10,0,0,0,76.67,0,False,False,False,False,False,False,True
2,0,2,2,38,10,0,0,0,126.0,0,False,False,False,False,False,False,True
2,0,1,1,175,7,0,0,0,85.5,1,False,False,False,False,False,False,True
2,0,0,3,143,8,0,0,0,140.7,0,False,False,True,False,False,False,False
2,0,2,2,127,6,0,0,0,103.7,1,False,False,True,False,False,False,True
1,0,0,1,0,9,0,0,0,142.0,0,False,False,False,False,False,False,True
2,1,2,5,95,12,0,0,0,103.7,3,False,False,False,False,False,False,True
1,0,1,2,118,6,0,0,0,110.0,0,False,False,False,False,False,False,True
2,0,0,3,45,11,0,0,0,75.0,0,False,False,False,False,False,False,True
3,0,1,1,69,7,0,0,0,137.7,0,False,False,True,False,False,False,True
2,0,0,1,57,9,0,0,0,87.3,3,False,False,False,False,False,False,True
1,0,0,2,5,8,1,0,4,0.0,4,False,False,False,False,False,False,True
2,0,0,2,39,8,0,0,0,101.5,0,False,False,False,False,False,False,True
2,0,0,1,0,2,0,0,0,97.0,1,False,False,False,False,False,False,True
3,0,1,1,89,8,0,0,0,150.3,1,False,False,True,False,False,False,True
2,0,0,4,85,3,0,0,0,82.45,0,False,False,False,False,False,False,True
1,0,0,1,4,7,1,0,3,103.0,1,False,False,True,False,False,False,True
1,0,2,6,11,7,0,0,0,145.0,0,False,False,False,False,False,False,False
1,0,1,1,12,7,0,0,0,145.0,1,False,False,False,False,False,False,True
2,0,2,2,77,5,0,0,0,134.85,1,False,False,True,False,False,False,True
2,1,1,1,14,10,0,0,0,168.25,1,False,False,False,False,True,False,True
1,0,2,1,1,2,0,0,0,60.0,0,False,False,False,False,False,False,False
